variable,search_domain,forecast_domain,anomaly_search,reference_date,forecast_date,forecast_error
msl,alaska,northern_hs,True,2011-11-06,2011-11-14,969.942
msl,alaska,northern_hs,True,2011-11-06,2011-11-15,970.739
msl,alaska,northern_hs,True,2011-11-06,2011-11-16,1024.719
msl,alaska,northern_hs,True,2011-11-06,2011-11-17,1036.847
msl,alaska,northern_hs,True,2011-11-06,2011-11-18,924.755
msl,alaska,northern_hs,True,2011-11-06,2011-11-19,966.079
msl,alaska,northern_hs,True,2011-11-06,2011-11-20,817.197
msl,alaska,panarctic,False,2004-10-06,2004-10-07,885.658
msl,alaska,panarctic,False,2004-10-06,2004-10-08,885.712
msl,alaska,panarctic,False,2004-10-06,2004-10-09,917.7
msl,alaska,panarctic,False,2004-10-06,2004-10-10,1050.71
msl,alaska,panarctic,False,2004-10-06,2004-10-11,1105.38
msl,alaska,panarctic,False,2004-10-06,2004-10-12,1067.822
msl,alaska,panarctic,False,2004-10-06,2004-10-13,1033.656
msl,alaska,panarctic,False,2004-10-06,2004-10-14,1256.905
msl,alaska,panarctic,False,2004-10-06,2004-10-15,1267.951
msl,alaska,panarctic,False,2004-10-06,2004-10-16,1086.302
msl,alaska,panarctic,False,2004-10-06,2004-10-17,1290.835
msl,alaska,panarctic,False,2004-10-06,2004-10-18,1406.772
msl,alaska,panarctic,False,2004-10-06,2004-10-19,1408.151
msl,alaska,panarctic,False,2004-10-06,2004-10-20,1129.955
msl,alaska,panarctic,False,2004-10-08,2004-10-09,781.74
msl,alaska,panarctic,False,2004-10-08,2004-10-10,743.824
msl,alaska,panarctic,False,2004-10-08,2004-10-11,853.607
msl,alaska,panarctic,False,2004-10-08,2004-10-12,1030.983
msl,alaska,panarctic,False,2004-10-08,2004-10-13,1270.071
msl,alaska,panarctic,False,2004-10-08,2004-10-14,1508.854
msl,alaska,panarctic,False,2004-10-08,2004-10-15,1518.035
msl,alaska,panarctic,False,2004-10-08,2004-10-16,1313.168
msl,alaska,panarctic,False,2004-10-08,2004-10-17,1297.906
msl,alaska,panarctic,False,2004-10-08,2004-10-18,1351.318
msl,alaska,panarctic,False,2004-10-08,2004-10-19,1371.685
msl,alaska,panarctic,False,2004-10-08,2004-10-20,1128.03
msl,alaska,panarctic,False,2004-10-08,2004-10-21,1077.394
msl,alaska,panarctic,False,2004-10-08,2004-10-22,985.691
msl,alaska,panarctic,False,2011-11-04,2011-11-05,974.862
msl,alaska,panarctic,False,2011-11-04,2011-11-06,1118.964
msl,alaska,panarctic,False,2011-11-04,2011-11-07,967.782
msl,alaska,panarctic,False,2011-11-04,2011-11-08,1179.475
msl,alaska,panarctic,False,2011-11-04,2011-11-09,1311.078
msl,alaska,panarctic,False,2011-11-04,2011-11-10,1291.4
msl,alaska,panarctic,False,2011-11-04,2011-11-11,1261.504
msl,alaska,panarctic,False,2011-11-04,2011-11-12,1404.224
msl,alaska,panarctic,False,2011-11-04,2011-11-13,1333.382
msl,alaska,panarctic,False,2011-11-04,2011-11-14,1265.209
msl,alaska,panarctic,False,2011-11-04,2011-11-15,1170.519
msl,alaska,panarctic,False,2011-11-04,2011-11-16,1003.092
msl,alaska,panarctic,False,2011-11-04,2011-11-17,1129.029
msl,alaska,panarctic,False,2011-11-04,2011-11-18,1153.762
msl,alaska,panarctic,False,2011-11-06,2011-11-07,1084.942
msl,alaska,panarctic,False,2011-11-06,2011-11-08,1032.563
msl,alaska,panarctic,False,2011-11-06,2011-11-09,1208.277
msl,alaska,panarctic,False,2011-11-06,2011-11-10,1250.233
msl,alaska,panarctic,False,2011-11-06,2011-11-11,1263.237
msl,alaska,panarctic,False,2011-11-06,2011-11-12,1330.239
msl,alaska,panarctic,False,2011-11-06,2011-11-13,1242.917
msl,alaska,panarctic,False,2011-11-06,2011-11-14,1210.364
msl,alaska,panarctic,False,2011-11-06,2011-11-15,1151.726
msl,alaska,panarctic,False,2011-11-06,2011-11-16,1152.163
msl,alaska,panarctic,False,2011-11-06,2011-11-17,1201.92
msl,alaska,panarctic,False,2011-11-06,2011-11-18,1059.178
msl,alaska,panarctic,False,2011-11-06,2011-11-19,1173.358
msl,alaska,panarctic,False,2011-11-06,2011-11-20,1209.853
msl,alaska,panarctic,True,2004-10-06,2004-10-07,919.355
msl,alaska,panarctic,True,2004-10-06,2004-10-08,907.493
msl,alaska,panarctic,True,2004-10-06,2004-10-09,898.814
msl,alaska,panarctic,True,2004-10-06,2004-10-10,979.733
msl,alaska,panarctic,True,2004-10-06,2004-10-11,1093.121
msl,alaska,panarctic,True,2004-10-06,2004-10-12,1086.651
msl,alaska,panarctic,True,2004-10-06,2004-10-13,988.9
msl,alaska,panarctic,True,2004-10-06,2004-10-14,1144.96
msl,alaska,panarctic,True,2004-10-06,2004-10-15,1167.167
msl,alaska,panarctic,True,2004-10-06,2004-10-16,1007.303
msl,alaska,panarctic,True,2004-10-06,2004-10-17,1183.924
msl,alaska,panarctic,True,2004-10-06,2004-10-18,1251.145
msl,alaska,panarctic,True,2004-10-06,2004-10-19,1279.026
msl,alaska,panarctic,True,2004-10-06,2004-10-20,1097.635
msl,alaska,panarctic,True,2004-10-08,2004-10-09,796.473
msl,alaska,panarctic,True,2004-10-08,2004-10-10,818.312
msl,alaska,panarctic,True,2004-10-08,2004-10-11,828.754
msl,alaska,panarctic,True,2004-10-08,2004-10-12,912.775
msl,alaska,panarctic,True,2004-10-08,2004-10-13,998.293
